Group,Link,Available,AvailableLabel
ENDURANCE,http://h44jyyfomcbnnw5dha7zgwgkvpzbzbdyx2onu4fxaa5smxrgbjgq7had.onion/,False,False
EGREGOR,https://egregornews.com,False,False
EL DORADO/BLACKLOCK,http://dataleakypypu7uwblm5kttv726l3iripago6p336xjnbstkjwrlnlid.onion,True,True
EMBARGO,http://embargobe3n5okxyzqphpmk3moinoap2snz5k6765mvtkk7hhi544jid.onion,True,True
ENTROPY,http://leaksv7sroztl377bbohzl42i3ddlfsxopcb6355zc7olzigedm5agad.onion,False,False
EP918,http://dg5fyig37abmivryrxlordrczn6d6r5wzcfe2msuo5mbbu2exnu46fid.onion,False,False
EVEREST,http://ransomocmou6mnbquqz44ewosbkjk3o5qjsl3orawojexfook2j7esad.onion,True,True
EVILCORP,http://hpoo4dosa3x4ognfxpqcrjwnsigvslm7kv6hvmhh2yqczaxy3j6qnwad.onion,False,False
EXORCIST,http://7iulpt5i6whht6zo2r52f7vptxtjxs3vfcdxxazllikrtqpupn4epnqd.onion,False,False
FOG,http://xbkv2qey6u3gd3qxcojynrt4h5sgrhkar6whuo74wo63hijnn677jnyd.onion/,True,True
FREE CIVILIAN (Attacks Ukrainian Government Agencies),http://gcbejm2rcjftouqbxuhimj5oroouqcuxb2my4raxqa7efkz5bd5464id.onion,False,False
FSOCIETY,http://flock4cvoeqm4c62gyohvmncx6ck2e7ugvyqgyxqtrumklhd5ptwzpqd.onion,True,True
FS-TEAM,http://hkk62og3s2tce2gipcdxg3m27z4b62mrmml6ugctzdxs25o26q3a4mid.onion,False,True
FUNKSEC,http://pke2vht5jdeninupk7i2thcfvxegsue6oraswpka35breuj7xxz2erid.onion,True,True
FUNKSEC,http://7ixfdvqb4eaju5lzj4gg76kwlrxg4ugqpuog5oqkkmgfyn33h527oyyd.onion/,True,True
FUNKSEC,http://ykqjcrptcai76ru5u7jhvspkeizfsvpgovton4jmreawj4zdwe4qnlid.onion,False,False
GOODWILL (Dashboard),http://9855-13-235-50-147.ngrok.io,True,False
GRIEF,http://griefcameifmv4hfr3auozmovz5yi6m3h3dwbuqw7baomfxoxz4qteid.onion,False,False
GROOVE,http://ws3dh6av66sjbxxkjpw5ao3wqzmtejnkzheswm4dz5rrwvular7xvkqd.onion,False,False
HADES,http://ixltdyumdlthrtgx.onion,False,False
HANDALA,https://handala.to,True,True
HANDALA,https://handala-hack.to,True,True
HANDALA,http://vmjfieomxhnfjba57sd6jjws2ogvowjgxhhfglsikqvvrnrajbmpxqqd.onion,True,True
HARON,http://ft4zr2jzlqoyob7yg4fcpwyt37hox3ajajqnfkdvbfrkjioyunmqnpad.onion/blog.php,False,False
HELLDOWN,http://onyxcgfg4pjevvp5h34zvhaj45kbft3dg5r33j5vu3nyp7xic3vrzvad.onion,False,False
HELLDOWN,http://onyxcym4mjilrsptk5uo2dhesbwntuban55mvww2olk5ygqafhu3i3yd.onion/,False,True
HELLCAT,http://hellcakbszllztlyqbjzwcbdhfrodx55wq77kmftp4bhnhsnn5r3odad.onion,False,True
HELLCAT,http://hellcat.rw,True,True
HELLO GOOKIE,http://gookie256cvccntvenyxrvn7ht73bs6ss3oj2ocfkjt5y6vq6gfi2tad.onion,False,True
HELLO KITTY,http://3r6n77mpe737w4sbxxxrpc5phbluv6xhtdl5ujpnlvmck5tc7blq2rqd.onion,False,False
HITLER,http://hitleransomware.cf,False,False
HIVE,http://hiveleakdbtnp76ulyhi52eag6c6tyc3xw7ez7iqy6wc34gd2nekazyd.onion,False,False
HIVE (Negotiation),http://hivecust6vhekztbqgdnkks64ucehqacge3dij3gyrrpdp57zoq3ooqd.onion,False,False
HOLYGHOST,http://matmq3z3hiovia3voe2tix2x54sghc3tszj74xgdy4tqtypoycszqzqd.onion,False,False
HOTARUS,http://r6d636w47ncnaukrpvlhmtdbvbeltc6enfcuuow3jclpmyga7cz374qd.onion,False,False
HUNTERS INTERNATIONAL, https://hunters55rdxciehoqzwv7vgyv6nt37tbwax2reroyzxhou7my5ejyid.onion,False,True
HUNTERS INTERNATIONAL,https://hunters55atbdusuladzv7vzv6a423bkh6ksl2uftwrxyuarbzlfh7yd.onion,False,True
HUNTERS INTERNATIONAL (Victim Site),https://hunters33mmcwww7ek7q5ndahul6nmzmrsumfs6aenicbqon6mxfiqyd.onion,False,True
HUNTERS INTERNATIONAL,http://huntersinternational.net,False,True
HUNTERS INTERNATIONAL,huntersinternational.su,False,True
ICEFIRE,http://kf6x3mjeqljqxjznaw65jixin7dpcunfxbbakwuitizytcpzn4iy5bad.onion/board/leak_list,False,False
ICEFIRE,http://7kstc545azxeahkduxmefgwqkrrhq3mzohkzqvrv7aekob7z3iwkqvyd.onion/board/victim_list,False,False
INC RANSOM,http://incblog7vmuq7rktic73r4ha4j757m3ptym37tyvifzp2roedyyzzxid.onion/blog/leaks,False,True
INC RANSOM - new,http://incblog6qu4y4mm4zvw5nrmue6qbwtgjsxpw6b7ixzssu36tsajldoad.onion,True,True
INC RANSOM (Deep),http://incapt.su/blog/leaks,False,True
INC RANSOM (new - Deep),http://inblog.su/blog/disclosures,False,True
INDUSTRIAL SPY,http://spyarea23ttlty6qav3ecmbclpqym3p32lksanoypvrqm6j5onstsjad.onion,False,False
JUSTICE BLADE,https://justice-blade.io,True,False
INSANE,http://nv5lbsrr4rxmewzmpe25nnalowe4ga7ki6yfvit3wlpu7dfc36pyh4ad.onion/Insane.html,False,True
INTERLOCK,http://ebhmkoohccl45qesdbvrjqtyro2hmhkmh6vkyfyjjzfllm3ix72aqaid.onion,True,True
KAIROS,http://nerqnacjmdy3obvevyol7qhazkwkv57dwqvye5v46k5bcujtfa6sduad.onion/,True,True
KARAKURT (Deep),https://karakurt.tech,True,False
KARAKURT (Deep),https://karakurt.co,False,False
KARAKURT (Deep),https://karanews.live,False,False
KARAKURT (Deep),https://karaleaks.com,True,False
KARAKURT 2.0 (IP),https://209.222.98.19,False,False
KARAKURT (Dark),https://lhxxtrqraokn63f3nubhbjrzxkrgduq3qogp3yr424tkpvh3z7n4kcyd.onion,False,False
KARAKURT (chat panel),https://omx5iqrdbsoitf3q4xexrqw5r5tfw7vp3vl3li3lfo7saabxazshnead.onion,False,True
KARAKURT (Dark),https://3f7nxkjway3d223j27lyad7v5cgmyaifesycvmwq7i7cbs23lb6llryd.onion,False,True
KARMA,http://3nvzqyo6l4wkrzumzu5aod7zbosq4ipgf7ifgj3hsvbcr5vcasordvqd.onion,False,False
KELVIN SECURITY,https://vipsuscription.org,False,True
KILLSEC,http://kill432ltnkqvaqntbalnsgojqqs2wz4lhnamrqjg66tq6fuvcztilyd.onion,False,True
Kill Security 3.0,http://ks5424y3wpr5zlug5c7i6svvxweinhbdcqcfnptkfcutrncfazzgz5id.onion/,True,True
KNIGHT (ex CYCLOPS),http://knight3xppu263m7g4ag3xlit2qxpryjwueobh7vjdc3zrscqlfu3pqd.onion,False,True
LAMBDA (Victim Site),http://nn5ua7gc7jkllpoztymtfcu64yjm7znlsriq3a6v5kw7l6jvirnczyyd.onion,False,True
LA PIOVRA,http://et22fibzuzfyzgurm35sttm52qbzvdgzy5qhzy46a3gmkrrht3lec5ad.onion,False,False
LEAKED DATA,http://business-data-leaks.com,False,True
LILITH,http://yeuajcizwytgmrntijhxphs6wn5txp2prs6rpndafbsapek3zd4ubcid.onion,False,False
LOCKBIT 2.0 (Dark mirror 1),http://lockbitapt2yfbt7lchxejug47kmqvqqxvvjpqkmevv4l3azl3gy6pyd.onion,False,False
LOCKBIT 2.0 (Dark mirror 2),http://lockbitapt5x4zkjbcqmz6frdhecqqgadevyiwqxukksspnlidyvd7qd.onion,False,False
LOCKBIT 2.0 (Dark mirror 3),http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion,False,False
LOCKBIT 2.0 (Dark mirror 4),http://lockbitapt34kvrip6xojylohhxrwsvpzdffgs5z4pbbsywnzsbdguqd.onion,False,False
LOCKBIT 2.0 (Dark mirror 5),http://lockbitaptc2iq4atewz2ise62q63wfktyrl4qtwuk5qax262kgtzjqd.onion,False,False
LOCKBIT 2.0 (Dark mirror 6),http://lockbitaptq7ephv2oigdncfhtwhpqgwmqojnxqdyhprxxfpcllqdxad.onion,False,False
LOCKBIT 2.0 (Dark mirror 7),http://lockbitaptstzf3er2lz6ku3xuifafq2yh5lmiqj5ncur6rtlmkteiqd.onion,False,False
LOCKBIT 2.0 (Dark mirror 8),http://oyarbnujct53bizjguvolxou3rmuda2vr72osyexngbdkhqebwrzsnad.onion,False,False
LOCKBIT 2.0 (Dark mirror 9),http://yq43odyrmzqvyezdindg2tokgogf3pn6bcdtvgczpz5a74tdxjbtk2yd.onion,False,False
LOCKBIT 2.0 (Deep),http://www.lockbitapt.uz,False,False
LOCKBIT 3.0 (Dark mirror 1),http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion,False,True
LOCKBIT 3.0 (Dark mirror 2),http://lockbitapt2yfbt7lchxejug47kmqvqqxvvjpqkmevv4l3azl3gy6pyd.onion,False,True
LOCKBIT 3.0 (Dark mirror 3),http://lockbitapt34kvrip6xojylohhxrwsvpzdffgs5z4pbbsywnzsbdguqd.onion,False,True
LOCKBIT 3.0 (Dark mirror 4),http://lockbitapt5x4zkjbcqmz6frdhecqqgadevyiwqxukksspnlidyvd7qd.onion,False,True
LOCKBIT 3.0 (Dark mirror 5),http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion,False,True
LOCKBIT 3.0 (Dark mirror 6),http://lockbitapt72iw55njgnqpymggskg5yp75ry7rirtdg4m7i42artsbqd.onion,False,True
LOCKBIT 3.0 (Dark mirror 7),http://lockbitaptawjl6udhpd323uehekiyatj6ftcxmkwe5sezs4fqgpjpid.onion,False,True
LOCKBIT 3.0 (Dark mirror 8),http://lockbitaptbdiajqtplcrigzgdjprwugkkut63nbvy2d5r4w2agyekqd.onion,False,True
LOCKBIT 3.0 (Dark mirror 9),http://lockbitaptc2iq4atewz2ise62q63wfktyrl4qtwuk5qax262kgtzjqd.onion,False,False
"LOCKBIT 3.0 (""Leaked Data"")",http://lockbit7z2jwcskxpbokpemdxmltipntwlkmidcll2qirbu7ykg46eyd.onion,True,True
"LOCKBIT 3.0 (""Leaked Data"")",http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion,False,True
"LOCKBIT 3.0 (""File Share"")",http://lockbitfile2tcudkcqqt2ve6btssyvqwlizbpv5vz337lslmhff2uad.onion,False,True
"LOCKBIT 3.0 (""Private Note"")",http://lockbitnotexk2vnf2q2zwjefsl3hjsnk4u74vq4chxrqpjclfydk4ad.onion,False,True
"LOCKBIT 3.0 (""Private Note"")",http://lockbitsup4yezcd5enk5unncx3zcy7kw6wllyqmiyhvanjj352jayid.onion,False,True
LOCKBIT 3.0 (New Dark mirror 1),http://lockbit3753ekiocyo5epmpy6klmejchjtzddoekjlnt6mu3qh4de2id.onion,True,True
LOCKBIT 3.0 (New Dark mirror 2),http://lockbit3g3ohd3katajf6zaehxz4h4cnhmz5t735zpltywhwpc6oy3id.onion,True,True
LOCKBIT 3.0 (New Dark mirror 3),http://lockbit3olp7oetlc4tl5zydnoluphh7fvdt5oa6arcp2757r7xkutid.onion,True,True
LOCKBIT 3.0 (New Dark mirror 4),http://lockbit435xk3ki62yun7z5nhwz6jyjdp2c64j5vge536if2eny3gtid.onion,True,True
LOCKBIT 3.0 (New Dark mirror 5),http://lockbit4lahhluquhoka3t4spqym2m3dhe66d6lr337glmnlgg2nndad.onion,True,True
LOCKBIT 3.0 (New Dark mirror 6),http://lockbit6knrauo3qafoksvl742vieqbujxw7rd6ofzdtapjb4rrawqad.onion,True,True
LOCKBIT 3.0 (New Dark mirror 7),http://lockbit7ouvrsdgtojeoj5hvu6bljqtghitekwpdy3b6y62ixtsu5jqd.onion,True,True
LOCKBIT 3.0 (from June 2024),http://ofj3oaltwaf67qtd7oafk5r44upm6wkc2jurpsdyih2c7mbrbshuwayd.onion,False,True
